Warning: log contains only data that is read by python using read_line. If read_line is not called, data will not be logged! 
 ### Serial Log ### 
[2023-09-30 20:43:40.204935] IN: SCHED_OK
[2023-09-30 20:43:40.204972] OUT: getcurr -sched 41000000
[2023-09-30 20:43:40.205546] IN: >> getcurr -sched 41000000
[2023-09-30 20:43:40.218217] IN: SCHED_OK
[2023-09-30 20:43:40.218264] OUT: getcurr -sched 41500000
[2023-09-30 20:43:40.218935] IN: >> getcurr -sched 41500000
[2023-09-30 20:43:40.231713] IN: SCHED_OK
[2023-09-30 20:43:40.231782] OUT: getcurr -sched 42000000
[2023-09-30 20:43:40.232748] IN: >> getcurr -sched 42000000
[2023-09-30 20:43:40.243766] IN: SCHED_OK
[2023-09-30 20:43:40.243834] OUT: getcurr -sched 42500000
[2023-09-30 20:43:40.244771] IN: >> getcurr -sched 42500000
[2023-09-30 20:43:40.256022] IN: SCHED_OK
[2023-09-30 20:43:40.256296] OUT: getcurr -sched 43000000
[2023-09-30 20:43:40.257175] IN: >> getcurr -sched 43000000
[2023-09-30 20:43:40.269957] IN: SCHED_OK
[2023-09-30 20:43:40.270024] OUT: getcurr -sched 43500000
[2023-09-30 20:43:40.270961] IN: >> getcurr -sched 43500000
[2023-09-30 20:43:40.281245] IN: SCHED_OK
[2023-09-30 20:43:40.281306] OUT: getcurr -sched 44000000
[2023-09-30 20:43:40.282041] IN: >> getcurr -sched 44000000
[2023-09-30 20:43:40.293035] IN: SCHED_OK
[2023-09-30 20:43:40.293078] OUT: getcurr -sched 44500000
[2023-09-30 20:43:40.293700] IN: >> getcurr -sched 44500000
[2023-09-30 20:43:40.306423] IN: SCHED_OK
[2023-09-30 20:43:40.306479] OUT: getcurr -sched 45000000
[2023-09-30 20:43:40.307303] IN: >> getcurr -sched 45000000
[2023-09-30 20:43:40.318552] IN: SCHED_OK
[2023-09-30 20:43:40.318596] OUT: getcurr -sched 45500000
[2023-09-30 20:43:40.319262] IN: >> getcurr -sched 45500000
[2023-09-30 20:43:40.331940] IN: SCHED_OK
[2023-09-30 20:43:40.332016] OUT: getcurr -sched 46000000
[2023-09-30 20:43:40.332690] IN: >> getcurr -sched 46000000
[2023-09-30 20:43:40.345370] IN: SCHED_OK
[2023-09-30 20:43:40.345421] OUT: getcurr -sched 46500000
[2023-09-30 20:43:40.346104] IN: >> getcurr -sched 46500000
[2023-09-30 20:43:40.357363] IN: SCHED_OK
[2023-09-30 20:43:40.357406] OUT: getcurr -sched 47000000
[2023-09-30 20:43:40.357452] IN: >>
[2023-09-30 20:43:40.369719] IN: REQ_SCHED_CMD
[2023-09-30 20:43:40.381138] IN: getcurr -sched 47000000
[2023-09-30 20:43:40.393815] IN: SCHED_OK
[2023-09-30 20:43:40.393860] OUT: getcurr -sched 47500000
[2023-09-30 20:43:40.394549] IN: >> getcurr -sched 47500000
[2023-09-30 20:43:40.406340] IN: SCHED_OK
[2023-09-30 20:43:40.406387] OUT: getcurr -sched 48000000
[2023-09-30 20:43:40.407042] IN: >> getcurr -sched 48000000
[2023-09-30 20:43:40.419730] IN: SCHED_OK
[2023-09-30 20:43:40.419810] OUT: getcurr -sched 48500000
[2023-09-30 20:43:40.420441] IN: >> getcurr -sched 48500000
[2023-09-30 20:43:40.430675] IN: SCHED_OK
[2023-09-30 20:43:40.430720] OUT: getcurr -sched 49000000
[2023-09-30 20:43:40.431407] IN: >> getcurr -sched 49000000
[2023-09-30 20:43:40.444185] IN: SCHED_OK
[2023-09-30 20:43:40.444255] OUT: getcurr -sched 49500000
[2023-09-30 20:43:40.445173] IN: >> getcurr -sched 49500000
[2023-09-30 20:43:40.456677] IN: SCHED_OK
[2023-09-30 20:43:40.456744] OUT: getcurr -sched 50000000
[2023-09-30 20:43:40.457660] IN: >> getcurr -sched 50000000
[2023-09-30 20:43:40.470331] IN: SCHED_OK
[2023-09-30 20:43:40.470378] OUT: getcurr -sched 50500000
[2023-09-30 20:43:40.471009] IN: >> getcurr -sched 50500000
[2023-09-30 20:43:40.483688] IN: SCHED_OK
[2023-09-30 20:43:40.483734] OUT: getcurr -sched 51000000
[2023-09-30 20:43:40.487009] IN: >>
[2023-09-30 20:43:40.497346] IN: LEDTEMP:
[2023-09-30 20:43:40.510031] IN: TIME:11136597
[2023-09-30 20:43:40.522779] IN: TEMP:23.187500
[2023-09-30 20:43:40.534606] IN: getcurr -sched 51000000
[2023-09-30 20:43:40.544888] IN: SCHED_OK
[2023-09-30 20:43:40.544936] OUT: getcurr -sched 51500000
[2023-09-30 20:43:40.545541] IN: >> getcurr -sched 51500000
[2023-09-30 20:43:40.558227] IN: SCHED_OK
[2023-09-30 20:43:40.558273] OUT: getcurr -sched 52000000
[2023-09-30 20:43:40.558987] IN: >> getcurr -sched 52000000
[2023-09-30 20:43:40.570126] IN: SCHED_OK
[2023-09-30 20:43:40.570180] OUT: getcurr -sched 52500000
[2023-09-30 20:43:40.570797] IN: >> getcurr -sched 52500000
[2023-09-30 20:43:40.581939] IN: SCHED_OK
[2023-09-30 20:43:40.581982] OUT: getcurr -sched 53000000
[2023-09-30 20:43:40.582596] IN: >> getcurr -sched 53000000
[2023-09-30 20:43:40.593566] IN: SCHED_OK
[2023-09-30 20:43:40.593646] OUT: getcurr -sched 53500000
[2023-09-30 20:43:40.594553] IN: >> getcurr -sched 53500000
[2023-09-30 20:43:40.607270] IN: SCHED_OK
[2023-09-30 20:43:40.607317] OUT: getcurr -sched 54000000
[2023-09-30 20:43:40.608101] IN: >> getcurr -sched 54000000
[2023-09-30 20:43:40.618650] IN: SCHED_OK
[2023-09-30 20:43:40.618702] OUT: getcurr -sched 54500000
[2023-09-30 20:43:40.619482] IN: >> getcurr -sched 54500000
[2023-09-30 20:43:40.631038] IN: SCHED_OK
[2023-09-30 20:43:40.631083] OUT: getcurr -sched 55000000
[2023-09-30 20:43:40.631702] IN: >> getcurr -sched 55000000
[2023-09-30 20:43:40.644366] IN: SCHED_OK
[2023-09-30 20:43:40.644409] OUT: getcurr -sched 55500000
[2023-09-30 20:43:40.645057] IN: >> getcurr -sched 55500000
[2023-09-30 20:43:40.658017] IN: SCHED_OK
[2023-09-30 20:43:40.658068] OUT: getcurr -sched 56000000
[2023-09-30 20:43:40.658821] IN: >> getcurr -sched 56000000
[2023-09-30 20:43:40.670401] IN: SCHED_OK
[2023-09-30 20:43:40.670425] OUT: getcurr -sched 56500000
[2023-09-30 20:43:40.670952] IN: >> getcurr -sched 56500000
[2023-09-30 20:43:40.683527] IN: SCHED_OK
[2023-09-30 20:43:40.683547] OUT: getcurr -sched 57000000
[2023-09-30 20:43:40.684129] IN: >> getcurr -sched 57000000
[2023-09-30 20:43:40.694832] IN: SCHED_OK
[2023-09-30 20:43:40.694855] OUT: getcurr -sched 57500000
[2023-09-30 20:43:40.695422] IN: >> getcurr -sched 57500000
[2023-09-30 20:43:40.708009] IN: SCHED_OK
